,Team,Total_goals_for_2_latest_season,Total_goals_against_2_latest_season,ATK,DEF,Skill,Total_matchesplayed_2_latest_season,Maxstage,Experience,Champion
27,Albania,1,3,Low,High,Quite well,Little,Group,Little,No
28,Northern Ireland,2,3,Low,High,Quite well,Quite less,Round of 16,Little,No
29,Ukraine,2,9,Low,Mid,Weak,Quite less,Group,Little,No
30,Slovenia,0,0,Low,High,Quite well,Little,Group,Little,No
31,Austria,1,4,Low,Quite High,Quite well,Little,Group,Little,No
32,Latvia,0,0,Low,High,Quite well,Little,Group,Little,No
